,z_gt,x_camera,y_camera,z_camera,ID
0,27734,,,,badge
1,2517,,,,badge
2,2543,,,,badge
3,2645,-860.1820068359375,49.587703704833984,1178.978515625,badge
4,2646,-894.2401733398438,-19.261438369750977,1138.13623046875,badge
5,2650,-914.5054321289062,-71.86923217773438,1168.2066650390625,badge
6,2652,-903.789794921875,-80.25518035888672,1144.0064697265625,badge
7,2652,,,,badge
8,2632,-835.8040161132812,-115.91119384765625,1325.9691162109375,badge
9,2614,-906.321533203125,-103.488525390625,1183.859619140625,badge
10,2597,,,,badge
11,2597,-936.284912109375,-124.85592651367188,1209.363037109375,badge
12,2594,-854.1893310546875,-58.42137908935547,1075.34814453125,badge
13,2588,-946.6702270507812,-102.98957061767578,1218.249755859375,badge
14,2580,-850.7366333007812,12.903696060180664,1438.2904052734375,badge
15,2573,-729.5360107421875,252.1037139892578,1482.1142578125,badge
16,2578,-836.9843139648438,75.6420669555664,1340.0755615234375,badge
17,2583,-848.1500854492188,5.838098526000977,1253.972900390625,badge
18,2587,,,,badge
19,2586,,,,badge
20,2595,,,,badge
21,2602,,,,badge
22,2607,,,,badge
23,2606,,,,badge
24,2605,844.5501098632812,-101.19509887695312,1069.6102294921875,badge
25,2613,-860.5145263671875,-124.08525848388672,1081.3525390625,badge
26,2616,,,,badge
27,2615,,,,badge
28,2619,,,,badge
29,2630,,,,badge
30,2839,-936.8059692382812,-320.6290588378906,1232.94677734375,badge
31,3066,-948.9628295898438,-326.1363830566406,1268.15576171875,badge
32,3021,-848.3311767578125,-98.04415893554688,1200.6134033203125,badge
33,2829,-865.4364013671875,-26.336381912231445,1239.9696044921875,badge
34,2609,-878.10400390625,41.26736831665039,1290.027587890625,badge
35,2606,-871.748291015625,90.20642852783203,1299.921875,badge
36,2606,-846.6900634765625,108.17791748046875,1337.1358642578125,badge
37,2606,-850.435791015625,111.34757995605469,1352.2681884765625,badge
38,2606,-846.1063232421875,121.83631896972656,1339.2568359375,badge
39,2606,-807.2604370117188,-69.98188018798828,1254.9090576171875,badge
40,2606,-947.1715698242188,0.4149628281593323,1221.15576171875,badge
41,2610,-891.3493041992188,146.55807495117188,1238.79541015625,badge
42,2616,-903.0687255859375,158.36863708496094,1247.5997314453125,badge
43,2620,-893.9036865234375,127.57320404052734,1244.83447265625,badge
44,2620,-880.9434204101562,-33.34434127807617,1172.748046875,badge
45,2619,-1015.7869262695312,-24.87067985534668,1256.0369873046875,badge
46,2620,-901.4038696289062,-12.884653091430664,1153.5904541015625,badge
47,2623,-924.0518188476562,-25.303686141967773,1191.3482666015625,badge
48,2623,-873.4257202148438,-7.74608850479126,1130.2705078125,badge
49,2625,-929.1554565429688,26.355344772338867,1202.388427734375,badge
50,2625,-948.6351928710938,67.65296173095703,1229.88623046875,badge
51,2631,,,,badge
52,2636,-960.6007080078125,-32.35121154785156,1198.4578857421875,badge
53,2642,-948.8079223632812,73.59759521484375,1411.8021240234375,badge
54,2687,-900.3560791015625,49.051692962646484,1533.367431640625,badge
55,2807,-992.635986328125,-3.1766340732574463,1251.907470703125,badge
56,2742,813.0175170898438,-19.4058895111084,1146.671630859375,badge
57,2694,,,,badge
58,2653,,,,badge
59,2653,,,,badge
60,2657,,,,badge
61,2663,-976.47509765625,-100.2048568725586,1227.0726318359375,badge
62,2676,,,,badge
63,2687,,,,badge
64,2691,-961.4019165039062,-116.88373565673828,1216.93115234375,badge
65,2695,,,,badge
66,2698,-978.5491333007812,-45.28176498413086,1271.0396728515625,badge
67,2699,-980.16552734375,-41.69342803955078,1273.13916015625,badge
68,2711,-981.3783569335938,-74.89398193359375,1277.1009521484375,badge
69,2765,-992.8888549804688,-66.47833251953125,1292.080078125,badge
70,2828,-980.3926391601562,-119.26628875732422,1300.158935546875,badge
71,2820,,,,badge
72,2829,-1078.4661865234375,-172.98745727539062,1370.099609375,badge
73,2855,,,,badge
74,2940,,,,badge
75,2965,-1038.475341796875,-199.1239471435547,1333.92236328125,badge
76,2912,-1022.4362182617188,-204.36241149902344,1306.0794677734375,badge
77,2859,-1001.3317260742188,-213.0253143310547,1279.1202392578125,badge
78,2824,-1052.1695556640625,-242.4280242919922,1361.5767822265625,badge
79,2839,-1013.9788208007812,-171.21090698242188,1242.747802734375,badge
80,2833,,,,badge
81,2824,,,,badge
82,2844,,,,badge
83,2889,-1051.0137939453125,-289.31903076171875,1370.2852783203125,badge
84,2938,-1073.4163818359375,-316.6343688964844,1509.9456787109375,badge
85,2950,-991.69482421875,-266.408203125,1472.4647216796875,badge
86,2941,-969.7110595703125,-301.4571533203125,1521.0496826171875,badge
87,2931,-910.9097290039062,-342.7283630371094,1729.2901611328125,badge
88,2929,-902.44140625,-303.7294921875,1468.5555419921875,badge
89,2919,-1109.814208984375,-276.85040283203125,1530.1796875,badge
90,2914,-1121.134765625,-332.4784240722656,1596.4541015625,badge
91,2909,-1128.4488525390625,-328.58929443359375,1577.7796630859375,badge
92,2913,-1037.0596923828125,-333.6675109863281,1580.3304443359375,badge
93,2915,-1016.781005859375,-342.0793151855469,1587.7161865234375,badge
94,2915,-1017.77734375,-333.3877258300781,1557.7769775390625,badge
95,2917,-1030.8369140625,-346.8518371582031,1631.656982421875,badge
96,2920,-998.4656372070312,-335.9596862792969,1580.418212890625,badge
97,2962,-1095.485595703125,-342.1243896484375,1556.7415771484375,badge
98,2987,-1109.751708984375,-364.426513671875,1669.1474609375,badge
99,3026,,,,badge
100,3031,-1099.0859375,-390.5620422363281,1731.7978515625,badge
101,3041,-1035.825439453125,-371.6312255859375,1658.435546875,badge
102,3044,-1058.587890625,-365.1680908203125,1694.8797607421875,badge
103,3055,-1018.3936767578125,-387.7023620605469,1730.1544189453125,badge
104,3058,-965.871337890625,-313.9407043457031,1539.34228515625,badge
105,3061,-1038.2557373046875,-337.2864685058594,1689.5679931640625,badge
106,3054,-1111.4559326171875,-342.9306945800781,1602.3670654296875,badge
107,3067,831.0509643554688,37.57133483886719,1174.48876953125,badge
