,z_gt,x_camera,y_camera,z_camera,ID
0,6923,1577.1690673828125,-221.46685791015625,2492.45703125,badge
1,6958,1675.804443359375,-115.28952026367188,2240.779541015625,badge
2,6931,1570.9923095703125,-197.33978271484375,2374.716796875,badge
3,6890,1569.633544921875,-247.2940673828125,2362.38818359375,badge
4,6832,1569.318603515625,-222.04920959472656,2311.85791015625,badge
5,6768,1599.5439453125,-328.1112976074219,2198.0029296875,badge
6,6690,1551.4609375,-309.6528625488281,2157.52099609375,badge
7,6554,1546.6312255859375,-281.6710205078125,2088.141357421875,badge
8,6394,1536.5927734375,-379.2226867675781,2015.85693359375,badge
9,6296,1551.2928466796875,-447.8049621582031,1912.4232177734375,badge
10,6224,1493.9461669921875,-367.9615478515625,1971.06884765625,badge
11,6139,1490.9180908203125,-374.29638671875,1974.569580078125,badge
12,6012,1455.83349609375,-482.1996765136719,1804.3416748046875,badge
13,5899,1453.838134765625,-348.1299133300781,1719.1085205078125,badge
14,5750,1443.5140380859375,-331.451171875,1748.543212890625,badge
15,5622,1468.3936767578125,-384.20452880859375,1748.215576171875,badge
16,4976,1382.618896484375,-347.06475830078125,1776.9674072265625,badge
17,5075,1402.9150390625,-379.35595703125,1760.73095703125,badge
18,5157,1388.8310546875,-281.61065673828125,1676.4622802734375,badge
19,5118,1345.9935302734375,-272.79949951171875,1570.21728515625,badge
20,4788,1297.48583984375,-410.3727722167969,1560.778564453125,badge
21,4880,1331.46826171875,-226.9668731689453,1535.2364501953125,badge
